Date,year,month,day,ozone,AOD,RD
170108,2017,1,8,255.023,0.041,9.09
170109,2017,1,9,259.6,0.041,9.88
170111,2017,1,11,259.633,0.041,10.29
170112,2017,1,12,255.023,0.103,10.45
170210,2017,2,10,243.333,0.014,9.05
170226,2017,2,26,247.2,0.041,9.06
170519,2017,5,19,287.1,0.134,9.74
170815,2017,8,15,284.181,0.041,10.06
170816,2017,8,16,286.867,0.041,9.73
171103,2017,11,3,254.882,0.134,9.43
171106,2017,11,6,254.882,0.026,9.4
171115,2017,11,15,254.882,0.041,10.22
171204,2017,12,4,259.267,0.134,10.92
180108,2018,1,8,255.023,0.072,9.09
180110,2018,1,10,249.556,0.041,10.02
180114,2018,1,14,306.767,0.072,9.57
180120,2018,1,20,255.023,0.103,10.42
180216,2018,2,16,259.424,0.072,10.85
180302,2018,3,2,273.379,0.072,9.28
180417,2018,4,17,265.811,0.072,10.38
180418,2018,4,18,285.2,0.258,9.54
180501,2018,5,1,291.267,0.026,9.3
180516,2018,5,16,287.812,0.026,9.03
180518,2018,5,18,292.011,0.041,9.18
180529,2018,5,29,279.433,0.072,9.51
180530,2018,5,30,287.812,0.134,10.33
180601,2018,6,1,277.111,0.382,9.24
180602,2018,6,2,291.667,0.072,9.07
180603,2018,6,3,289.289,0.072,9.86
180604,2018,6,4,281.411,0.014,9.02
180703,2018,7,3,302.1,0.072,10.63
180716,2018,7,16,304.144,0.134,9.68
180717,2018,7,17,287.236,0.014,9.07
180720,2018,7,20,291.4,0.072,9.49
180721,2018,7,21,292.911,0.041,9.37
180722,2018,7,22,297.656,0.041,9.16
180729,2018,7,29,286.922,0.072,9.61
180810,2018,8,10,295.467,0.018,9.15
180816,2018,8,16,317.65,0.026,9.01
180817,2018,8,17,296.222,0.018,9.1
180818,2018,8,18,284.181,0.041,9.28
180828,2018,8,28,287.067,0.018,9.23
181028,2018,10,28,260.191,0.041,9.57
181029,2018,10,29,256.0,0.072,9.91
181030,2018,10,30,260.191,0.041,9.67
181103,2018,11,3,272.611,0.041,10.04
181106,2018,11,6,254.882,0.041,10.04
181201,2018,12,1,253.601,0.026,9.03
181227,2018,12,27,253.601,0.072,9.52
190121,2019,1,21,255.023,0.026,9.19
190122,2019,1,22,245.889,0.32,9.11
190124,2019,1,24,258.456,0.041,10.68
190129,2019,1,29,258.578,0.041,9.64
190207,2019,2,7,250.422,0.258,9.43
190213,2019,2,13,259.424,0.041,10.44
190220,2019,2,20,246.233,0.072,9.35
190224,2019,2,24,259.424,0.103,9.71
190227,2019,2,27,238.9,0.196,10.98
190302,2019,3,2,245.2,0.444,9.36
190411,2019,4,11,262.889,0.258,9.88
190413,2019,4,13,307.5,0.041,9.28
190414,2019,4,14,278.056,0.103,9.84
190418,2019,4,18,275.2,0.072,9.1
190419,2019,4,19,283.622,0.072,9.08
190420,2019,4,20,273.0,0.134,9.98
190421,2019,4,21,276.933,0.32,9.24
190425,2019,4,25,278.989,0.018,9.08
190427,2019,4,27,271.844,0.258,10.56
190428,2019,4,28,276.389,0.258,10.54
190501,2019,5,1,287.812,0.196,11.0
190508,2019,5,8,287.812,0.041,9.88
190518,2019,5,18,274.367,0.134,10.08
190519,2019,5,19,272.967,0.382,10.9
190520,2019,5,20,285.667,0.413,9.99
190522,2019,5,22,285.522,0.382,10.9
190529,2019,5,29,267.722,0.32,9.6
190606,2019,6,6,277.411,0.072,9.07
190607,2019,6,7,272.711,0.072,9.87
190706,2019,7,6,287.236,0.041,9.47
190708,2019,7,8,302.356,0.072,9.94
190709,2019,7,9,289.978,0.041,9.36
190710,2019,7,10,285.667,0.041,9.47
190719,2019,7,19,299.622,0.072,9.48
190720,2019,7,20,287.236,0.072,9.82
190721,2019,7,21,290.4,0.041,9.49
190728,2019,7,28,283.633,0.072,9.38
190730,2019,7,30,275.333,0.134,9.95
190731,2019,7,31,284.878,0.072,9.62
190801,2019,8,1,280.5,0.072,9.86
190808,2019,8,8,278.133,0.103,10.13
190809,2019,8,9,287.0,0.041,10.02
190810,2019,8,10,285.889,0.072,10.48
190811,2019,8,11,279.5,0.072,10.5
190812,2019,8,12,284.181,0.134,10.28
190813,2019,8,13,284.333,0.072,10.98
190814,2019,8,14,281.078,0.165,9.91
190815,2019,8,15,281.689,0.227,9.7
190816,2019,8,16,288.133,0.134,10.2
190817,2019,8,17,285.089,0.134,10.56
190818,2019,8,18,295.167,0.196,9.61
190819,2019,8,19,333.467,0.258,10.39
190826,2019,8,26,276.911,0.041,9.6
190829,2019,8,29,276.333,0.134,9.17
