,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
02/13,253.0,242.0,239.0,258.0,238.0,241.0,245.0,242.0,245.0,252.0,249.0,245.0,245.0,233.0,239.0,250.0
02/14,248.0,235.0,244.0,245.0,242.0,236.0,259.0,249.0,239.0,254.0,248.0,240.0,247.0,242.0,245.0,245.0
02/15,253.0,240.0,235.0,253.0,242.0,234.0,245.0,245.0,236.0,257.0,253.0,236.0,245.0,245.0,245.0,250.0
02/16,250.0,242.0,240.0,248.0,245.0,225.0,257.0,245.0,243.0,245.0,248.0,248.0,249.0,245.0,238.0,252.0
02/17,253.0,244.0,240.0,255.0,243.0,245.0,251.0,240.0,242.0,251.0,245.0,240.0,246.0,246.0,241.0,250.0
02/18,250.0,248.0,241.0,249.0,238.0,230.0,256.0,245.0,249.0,250.0,253.0,256.0,250.0,245.0,241.0,249.0
02/19,251.0,243.0,245.0,246.0,246.0,245.0,254.0,249.0,248.0,253.0,245.0,248.0,248.0,237.0,245.0,248.0
02/20,248.0,242.0,242.0,249.0,241.0,228.0,245.0,249.0,245.0,242.0,254.0,245.0,245.0,231.0,249.0,258.0
02/21,245.0,238.0,244.0,250.0,243.0,245.0,255.0,247.0,243.0,252.0,248.0,252.0,244.0,237.0,245.0,252.0
02/22,247.0,245.0,236.0,248.0,244.0,228.0,245.0,244.0,251.0,258.0,252.0,245.0,245.0,234.0,245.0,250.0
02/23,245.0,243.0,246.0,243.0,248.0,218.0,256.0,248.0,245.0,245.0,253.0,247.0,249.0,237.0,246.0,252.0
02/24,251.0,242.0,240.0,244.0,255.0,233.0,245.0,246.0,247.0,253.0,245.0,242.0,245.0,239.0,242.0,250.0
02/25,238.0,245.0,244.0,240.0,245.0,235.0,254.0,245.0,247.0,252.0,249.0,243.0,251.0,245.0,249.0,258.0
02/26,249.0,243.0,238.0,242.0,257.0,245.0,253.0,240.0,247.0,257.0,245.0,232.0,247.0,242.0,250.0,253.0
02/27,240.0,246.0,245.0,245.0,258.0,237.0,257.0,245.0,246.0,254.0,248.0,245.0,250.0,245.0,247.0,255.0
02/28,247.0,245.0,250.0,250.0,262.0,245.0,252.0,249.0,250.0,258.0,252.0,246.0,242.0,247.0,245.0,254.0
03/01,240.0,254.0,247.0,239.0,260.0,240.0,249.0,248.0,254.0,258.0,258.0,245.0,254.0,250.0,255.0,250.0
03/02,246.0,254.0,251.0,238.0,262.0,239.0,250.0,258.0,251.0,254.0,253.0,252.0,258.0,255.0,254.0,257.0
03/03,244.0,255.0,248.0,241.0,261.0,238.0,254.0,263.0,250.0,266.0,250.0,248.0,254.0,253.0,259.0,260.0
03/04,240.0,250.0,249.0,246.0,254.0,228.0,269.0,262.0,253.0,254.0,243.0,240.0,257.0,251.0,257.0,252.0
03/05,254.0,253.0,244.0,245.0,254.0,240.0,265.0,262.0,251.0,265.0,254.0,228.0,257.0,253.0,259.0,260.0
03/06,246.0,256.0,244.0,249.0,247.0,229.0,261.0,254.0,243.0,265.0,260.0,254.0,258.0,254.0,253.0,254.0
03/07,255.0,244.0,249.0,248.0,255.0,228.0,253.0,255.0,239.0,266.0,254.0,244.0,260.0,255.0,254.0,252.0
03/08,256.0,250.0,250.0,248.0,252.0,228.0,254.0,259.0,254.0,255.0,256.0,254.0,254.0,258.0,259.0,259.0
03/09,265.0,250.0,252.0,249.0,253.0,254.0,252.0,261.0,242.0,253.0,256.0,249.0,249.0,255.0,254.0,249.0
03/10,258.0,251.0,255.0,253.0,251.0,232.0,254.0,256.0,245.0,263.0,258.0,254.0,254.0,253.0,263.0,260.0
03/11,264.0,251.0,263.0,253.0,251.0,227.0,263.0,259.0,244.0,254.0,257.0,240.0,259.0,256.0,255.0,256.0
03/12,264.0,254.0,262.0,247.0,249.0,240.0,254.0,263.0,245.0,261.0,254.0,238.0,254.0,258.0,256.0,260.0
03/13,252.0,257.0,256.0,250.0,254.0,237.0,262.0,259.0,246.0,261.0,262.0,238.0,254.0,254.0,251.0,258.0
03/14,253.0,257.0,250.0,255.0,254.0,254.0,262.0,252.0,250.0,264.0,254.0,235.0,254.0,261.0,251.0,258.0
03/15,252.0,257.0,253.0,256.0,254.0,237.0,263.0,254.0,254.0,250.0,260.0,254.0,254.0,254.0,248.0,260.0
03/16,253.0,253.0,251.0,251.0,254.0,254.0,265.0,263.0,242.0,254.0,254.0,232.0,254.0,256.0,254.0,256.0
03/17,250.0,257.0,257.0,255.0,257.0,246.0,251.0,258.0,254.0,261.0,253.0,254.0,254.0,257.0,250.0,260.0
03/18,242.0,251.0,266.0,254.0,258.0,250.0,253.0,259.0,249.0,273.0,250.0,246.0,264.0,261.0,254.0,247.0
03/19,251.0,253.0,260.0,249.0,260.0,249.0,254.0,257.0,245.0,261.0,253.0,239.0,254.0,259.0,250.0,260.0
03/20,246.0,249.0,253.0,253.0,254.0,233.0,266.0,257.0,249.0,254.0,258.0,243.0,252.0,263.0,243.0,260.0
03/21,251.0,253.0,253.0,255.0,263.0,247.0,262.0,265.0,250.0,262.0,254.0,235.0,253.0,266.0,249.0,260.0
03/22,262.0,259.0,248.0,250.0,258.0,242.0,260.0,254.0,245.0,258.0,259.0,241.0,249.0,254.0,254.0,259.0
03/23,258.0,254.0,248.0,254.0,263.0,254.0,259.0,266.0,244.0,261.0,254.0,240.0,255.0,260.0,254.0,258.0
03/24,247.0,258.0,246.0,247.0,260.0,243.0,254.0,256.0,254.0,255.0,258.0,254.0,259.0,258.0,256.0,262.0
