,342.5nm,388nm,442nm,463nm,483.5nm
150223,3.189,2.829,2.442,2.306,2.181
150224,3.189,2.829,2.442,2.306,2.181
150225,1.45,1.4,1.353,1.338,1.324
150226,3.189,2.829,2.442,2.306,2.181
150227,3.189,2.829,2.442,2.306,2.181
150228,3.189,2.829,2.442,2.306,2.181
150301,1.095,1.024,0.925,0.886,0.847
150302,1.05,0.979,0.882,0.843,0.806
150303,3.417,2.939,2.449,2.282,2.132
150304,3.417,2.939,2.449,2.282,2.132
150305,3.417,2.939,2.449,2.282,2.132
150306,7.568,6.266,5.006,4.593,4.226
150307,3.417,2.939,2.449,2.282,2.132
150308,3.417,2.939,2.449,2.282,2.132
150309,3.417,2.939,2.449,2.282,2.132
150310,0.173,0.15,0.125,0.117,0.109
150311,3.417,2.939,2.449,2.282,2.132
150312,3.417,2.939,2.449,2.282,2.132
150313,3.417,2.939,2.449,2.282,2.132
150314,3.417,2.939,2.449,2.282,2.132
150315,3.417,2.939,2.449,2.282,2.132
150316,3.417,2.939,2.449,2.282,2.132
150317,3.417,2.939,2.449,2.282,2.132
150318,3.417,2.939,2.449,2.282,2.132
150319,3.417,2.939,2.449,2.282,2.132
150320,3.417,2.939,2.449,2.282,2.132
150321,3.417,2.939,2.449,2.282,2.132
150322,4.316,3.637,2.959,2.731,2.527
150323,3.417,2.939,2.449,2.282,2.132
150324,3.417,2.939,2.449,2.282,2.132
150325,3.417,2.939,2.449,2.282,2.132
150326,7.576,6.501,5.381,4.995,4.646
150327,3.417,2.939,2.449,2.282,2.132
150328,3.417,2.939,2.449,2.282,2.132
150329,3.417,2.939,2.449,2.282,2.132
150330,3.417,2.939,2.449,2.282,2.132
150331,3.417,2.939,2.449,2.282,2.132
150401,2.602,2.323,2.019,1.932,1.813
150402,2.602,2.323,2.019,1.932,1.813
150403,2.602,2.323,2.019,1.932,1.813
150404,2.602,2.323,2.019,1.932,1.813
150405,2.602,2.323,2.019,1.932,1.813
150406,2.602,2.323,2.019,1.932,1.813
150407,2.602,2.323,2.019,1.932,1.813
150408,2.602,2.323,2.019,1.932,1.813
150409,5.118,4.413,3.673,3.418,3.187
150410,2.602,2.323,2.019,1.932,1.813
150411,2.602,2.323,2.019,1.932,1.813
150412,0.949,0.885,0.797,0.762,0.728
150413,2.602,2.323,2.019,1.932,1.813
150414,4.605,3.951,3.27,3.036,2.824
150415,2.602,2.323,2.019,1.932,1.813
150416,2.602,2.323,2.019,1.932,1.813
150417,2.602,2.323,2.019,1.932,1.813
150418,2.602,2.323,2.019,1.932,1.813
150419,1.648,1.591,1.538,1.542,1.505
150420,1.196,1.12,1.015,0.973,0.933
150421,2.25,2.04,1.824,1.75,1.684
150422,2.602,2.323,2.019,1.932,1.813
150423,6.009,5.157,4.268,3.962,3.685
150424,2.602,2.323,2.019,1.932,1.813
150425,2.602,2.323,2.019,1.932,1.813
150426,2.602,2.323,2.019,1.932,1.813
150427,2.602,2.323,2.019,1.932,1.813
150428,2.602,2.323,2.019,1.932,1.813
150429,2.602,2.323,2.019,1.932,1.813
150430,2.602,2.323,2.019,1.932,1.813
150501,2.533,2.25,1.944,1.837,1.737
150502,2.533,2.25,1.944,1.837,1.737
150503,2.343,2.186,1.97,1.883,1.799
150504,3.303,2.966,2.579,2.438,2.306
150505,2.533,2.25,1.944,1.837,1.737
150506,5.184,4.341,3.517,3.244,3.001
150507,2.533,2.25,1.944,1.837,1.737
150508,2.533,2.25,1.944,1.837,1.737
150509,2.533,2.25,1.944,1.837,1.737
150510,2.533,2.25,1.944,1.837,1.737
150511,2.533,2.25,1.944,1.837,1.737
150512,2.533,2.25,1.944,1.837,1.737
150513,7.258,6.009,4.801,4.404,4.053
150514,2.672,2.293,1.898,1.762,1.639
150515,2.533,2.25,1.944,1.837,1.737
150516,1.295,1.208,1.088,1.04,0.994
150517,2.533,2.25,1.944,1.837,1.737
150518,2.533,2.25,1.944,1.837,1.737
150519,0.99,0.924,0.834,0.798,0.763
150520,3.526,3.04,2.531,2.355,2.195
150521,2.533,2.25,1.944,1.837,1.737
150522,2.533,2.25,1.944,1.837,1.737
150523,1.349,1.261,1.164,1.129,1.096
150524,2.533,2.25,1.944,1.837,1.737
150525,4.575,4.039,3.449,3.239,3.046
150526,1.196,1.118,1.01,0.967,0.925
150527,2.533,2.25,1.944,1.837,1.737
150528,2.533,2.25,1.944,1.837,1.737
150529,2.533,2.25,1.944,1.837,1.737
150530,2.533,2.25,1.944,1.837,1.737
150531,2.533,2.25,1.944,1.837,1.737
150601,1.314,1.269,1.227,1.213,1.2
150602,1.657,1.475,1.274,1.202,1.129
150603,4.948,4.157,3.375,3.115,2.882
150604,1.657,1.475,1.274,1.202,1.129
150605,1.657,1.475,1.274,1.202,1.129
150606,0.9,0.839,0.757,0.723,0.691
150607,1.959,1.834,1.662,1.594,1.527
150608,1.657,1.475,1.274,1.202,1.129
150609,1.657,1.475,1.274,1.202,1.129
150610,6.88,5.904,4.886,4.536,4.219
150611,1.657,1.475,1.274,1.202,1.129
150612,2.239,1.865,1.5,1.38,1.274
150613,1.657,1.475,1.274,1.202,1.129
150614,1.929,1.713,1.471,1.385,1.305
150615,1.128,1.052,0.948,0.906,0.866
150616,1.657,1.475,1.274,1.202,1.129
150617,2.348,2.191,1.974,1.888,1.803
150618,1.657,1.475,1.274,1.202,1.129
150619,0.501,0.42,0.342,0.315,0.292
150620,1.657,1.475,1.274,1.202,1.129
150621,2.091,1.958,1.774,1.701,1.63
150622,2.018,1.948,1.883,1.862,1.842
150623,2.545,2.194,1.826,1.7,1.584
150624,0.58,0.543,0.492,0.472,0.451
150625,1.657,1.475,1.274,1.202,1.129
150626,0.263,0.235,0.204,0.193,0.182
150627,1.657,1.475,1.274,1.202,1.129
150628,1.657,1.475,1.274,1.202,1.129
150629,1.112,1.039,0.938,0.897,0.858
150630,0.623,0.581,0.524,0.501,0.479
150701,1.075,1.09,0.982,0.939,0.897
150702,1.075,0.969,0.846,0.801,0.768
150703,0.337,0.31,0.276,0.262,0.25
150704,1.075,0.969,0.846,0.801,0.768
150705,1.075,0.969,0.846,0.801,0.768
150706,1.075,0.969,0.846,0.801,0.768
150707,2.502,2.234,1.932,1.822,1.721
150708,1.075,0.969,0.846,0.801,0.768
150709,1.075,0.969,0.846,0.801,0.768
150710,1.621,1.512,1.363,1.303,1.245
150711,1.075,0.969,0.846,0.801,0.768
150712,5.821,4.936,4.042,3.742,3.472
150713,1.686,1.576,1.425,1.364,1.305
150714,1.075,0.969,0.846,0.801,0.768
150715,0.296,0.285,0.276,0.272,0.27
150716,1.075,0.969,0.846,0.801,0.768
150717,0.8,0.747,0.675,0.647,0.619
150718,1.075,0.969,0.846,0.801,0.768
150719,0.234,0.215,0.192,0.183,0.174
150720,2.215,2.07,1.87,1.791,1.713
150721,1.075,0.969,0.846,0.801,0.768
150722,1.313,1.227,1.109,1.062,1.016
150723,1.075,0.969,0.846,0.801,0.768
150724,1.075,0.969,0.846,0.801,0.768
150725,1.075,0.969,0.846,0.801,0.768
150726,0.056,0.053,0.048,0.046,0.044
150727,1.075,0.969,0.846,0.801,0.768
150728,2.675,2.498,2.256,2.159,2.065
150729,0.023,0.022,0.019,0.019,0.018
150730,2.169,1.861,1.541,1.43,1.33
150731,0.116,0.1,0.083,0.077,0.071
150801,2.517,2.205,1.872,1.756,1.65
150802,0.674,0.616,0.545,0.517,0.492
150803,2.517,2.205,1.872,1.756,1.65
150804,0.267,0.249,0.226,0.216,0.207
150805,2.517,2.205,1.872,1.756,1.65
150806,4.476,3.854,3.203,2.979,2.775
150807,2.517,2.205,1.872,1.756,1.65
150808,2.517,2.205,1.872,1.756,1.65
150809,3.462,2.883,2.32,2.134,1.969
150810,2.517,2.205,1.872,1.756,1.65
150811,2.517,2.205,1.872,1.756,1.65
150812,2.517,2.205,1.872,1.756,1.65
150813,1.274,1.055,0.843,0.773,0.711
150814,0.169,0.158,0.143,0.137,0.132
150815,5.018,4.248,3.47,3.208,2.972
150816,1.864,1.594,1.316,1.221,1.136
150817,1.93,1.657,1.371,1.273,1.184
150818,2.517,2.205,1.872,1.756,1.65
150819,2.517,2.205,1.872,1.756,1.65
150820,1.711,1.502,1.276,1.197,1.123
150821,2.517,2.205,1.872,1.756,1.65
150822,4.115,3.522,2.913,2.705,2.518
150823,4.641,4.173,3.634,3.437,3.252
150824,6.37,5.467,4.524,4.2,3.907
150825,3.594,3.084,2.552,2.369,2.204
150826,2.517,2.205,1.872,1.756,1.65
150827,2.279,2.046,1.772,1.672,1.578
150828,2.517,2.205,1.872,1.756,1.65
150829,2.517,2.205,1.872,1.756,1.65
150830,2.517,2.205,1.872,1.756,1.65
150831,2.517,2.205,1.872,1.756,1.65
150901,3.274,2.847,2.396,2.239,2.096
150902,3.274,2.847,2.396,2.239,2.096
150903,3.274,2.847,2.396,2.239,2.096
150904,3.274,2.847,2.396,2.239,2.096
150905,3.274,2.847,2.396,2.239,2.096
150906,3.274,2.847,2.396,2.239,2.096
150907,2.504,2.159,1.798,1.672,1.56
150908,3.193,2.979,2.684,2.566,2.452
150909,3.274,2.847,2.396,2.239,2.096
150910,3.274,2.847,2.396,2.239,2.096
150911,3.889,3.353,2.791,2.597,2.421
150912,3.334,3.053,2.705,2.572,2.446
150913,3.274,2.847,2.396,2.239,2.096
150914,3.274,2.847,2.396,2.239,2.096
150915,3.274,2.847,2.396,2.239,2.096
150916,3.274,2.847,2.396,2.239,2.096
150917,2.566,2.394,2.157,2.062,1.97
150918,3.274,2.847,2.396,2.239,2.096
150919,3.274,2.847,2.396,2.239,2.096
150920,3.274,2.847,2.396,2.239,2.096
150921,3.274,2.847,2.396,2.239,2.096
150922,3.274,2.847,2.396,2.239,2.096
150923,3.79,3.267,2.72,2.531,2.359
150924,3.274,2.847,2.396,2.239,2.096
150925,3.274,2.847,2.396,2.239,2.096
150926,3.274,2.847,2.396,2.239,2.096
150927,3.274,2.847,2.396,2.239,2.096
150928,3.274,2.847,2.396,2.239,2.096
150929,3.274,2.847,2.396,2.239,2.096
150930,3.274,2.847,2.396,2.239,2.096
151001,1.594,1.487,1.34,1.281,1.224
151002,2.443,2.046,1.658,1.529,1.415
151003,3.228,2.811,2.37,2.216,2.076
151004,3.228,2.811,2.37,2.216,2.076
151005,2.462,2.207,1.914,1.808,1.708
151006,3.228,2.811,2.37,2.216,2.076
151007,3.228,2.811,2.37,2.216,2.076
151008,3.228,2.811,2.37,2.216,2.076
151009,1.281,1.128,0.963,0.905,0.85
151010,3.228,2.811,2.37,2.216,2.076
151011,3.228,2.811,2.37,2.216,2.076
151012,3.228,2.811,2.37,2.216,2.076
151013,3.228,2.811,2.37,2.216,2.076
151014,3.228,2.811,2.37,2.216,2.076
151015,3.228,2.811,2.37,2.216,2.076
151016,3.358,2.78,2.221,2.038,1.875
151017,3.228,2.811,2.37,2.216,2.076
151018,1.778,1.472,1.176,1.079,0.993
151019,2.797,2.423,2.039,1.908,1.788
151020,3.228,2.811,2.37,2.216,2.076
151021,3.228,2.811,2.37,2.216,2.076
151022,3.228,2.811,2.37,2.216,2.076
151023,2.934,2.566,2.168,2.029,1.901
151024,3.228,2.811,2.37,2.216,2.076
151025,3.228,2.811,2.37,2.216,2.076
151026,3.228,2.811,2.37,2.216,2.076
151027,3.228,2.811,2.37,2.216,2.076
151028,3.228,2.811,2.37,2.216,2.076
151029,3.228,2.811,2.37,2.216,2.076
151030,3.228,2.811,2.37,2.216,2.076
151031,3.228,2.811,2.37,2.216,2.076
151101,3.055,2.682,2.299,2.167,2.048
151102,3.055,2.682,2.299,2.167,2.048
151103,3.055,2.682,2.299,2.167,2.048
151104,3.055,2.682,2.299,2.167,2.048
151105,3.055,2.682,2.299,2.167,2.048
151106,3.055,2.682,2.299,2.167,2.048
151107,3.055,2.682,2.299,2.167,2.048
151108,2.657,2.28,1.887,1.752,1.63
151109,3.055,2.682,2.299,2.167,2.048
151110,3.055,2.682,2.299,2.167,2.048
151111,3.055,2.682,2.299,2.167,2.048
151112,3.492,3.257,2.935,2.806,2.681
151113,1.278,1.234,1.193,1.179,1.167
151114,3.055,2.682,2.299,2.167,2.048
151115,1.903,1.837,1.776,1.756,1.738
151116,3.055,2.682,2.299,2.167,2.048
151117,3.055,2.682,2.299,2.167,2.048
151118,3.055,2.682,2.299,2.167,2.048
151119,3.055,2.682,2.299,2.167,2.048
151120,3.055,2.682,2.299,2.167,2.048
151121,3.055,2.682,2.299,2.167,2.048
151122,3.055,2.682,2.299,2.167,2.048
151123,3.055,2.682,2.299,2.167,2.048
151124,1.659,1.602,1.549,1.531,1.515
151125,3.055,2.682,2.299,2.167,2.048
151126,3.055,2.682,2.299,2.167,2.048
151127,3.555,3.051,2.525,2.344,2.18
151128,3.712,3.073,2.455,2.252,2.072
151129,3.055,2.682,2.299,2.167,2.048
151130,3.055,2.682,2.299,2.167,2.048
151201,3.261,2.841,2.399,2.246,2.166
151202,3.261,2.841,2.399,2.246,2.166
151203,6.106,5.15,4.192,3.871,3.582
151204,3.261,2.841,2.399,2.246,2.166
151205,3.261,2.841,2.399,2.246,2.166
151206,3.261,2.841,2.399,2.246,2.166
151207,3.261,2.841,2.399,2.246,2.166
151208,3.261,2.841,2.399,2.246,2.166
151209,3.261,2.841,2.399,2.246,2.166
151210,2.189,1.878,1.554,1.443,1.342
151211,2.632,2.192,1.764,1.623,1.497
151212,3.261,2.841,2.399,2.246,2.166
151213,3.261,2.841,2.399,2.246,2.166
151214,3.261,2.841,2.399,2.246,2.166
151215,3.261,2.841,2.399,2.246,2.166
151216,3.261,2.841,2.399,2.246,2.166
151217,3.261,2.841,2.399,2.246,2.166
151218,3.261,2.841,2.399,2.246,2.166
151219,3.261,2.841,2.399,2.246,2.166
151220,3.261,2.841,2.399,2.246,2.166
151221,3.261,2.841,2.399,2.246,2.166
151222,0.947,0.883,0.796,0.761,0.727
151223,3.261,2.841,2.399,2.246,2.166
151224,3.261,2.841,2.399,2.246,2.166
151225,3.261,2.841,2.399,2.246,2.166
151226,3.261,2.841,2.399,2.246,2.166
151227,3.261,2.841,2.399,2.246,2.166
151228,3.261,2.841,2.399,2.246,2.166
151229,3.261,2.841,2.399,2.246,2.166
151230,3.261,2.841,2.399,2.246,2.166
151231,1.434,1.338,1.205,1.152,2.166
160101,2.936,2.657,2.343,2.23,2.125
160102,2.936,2.657,2.343,2.23,2.125
160103,2.936,2.657,2.343,2.23,2.125
160104,2.936,2.657,2.343,2.23,2.125
160105,2.936,2.657,2.343,2.23,2.125
160106,2.936,2.657,2.343,2.23,2.125
160107,2.936,2.657,2.343,2.23,2.125
160108,2.936,2.657,2.343,2.23,2.125
160109,2.936,2.657,2.343,2.23,2.125
160110,2.936,2.657,2.343,2.23,2.125
160111,2.936,2.657,2.343,2.23,2.125
160112,2.936,2.657,2.343,2.23,2.125
160113,2.936,2.657,2.343,2.23,2.125
160114,2.936,2.657,2.343,2.23,2.125
160115,2.936,2.657,2.343,2.23,2.125
160116,2.936,2.657,2.343,2.23,2.125
160117,2.936,2.657,2.343,2.23,2.125
160118,2.936,2.657,2.343,2.23,2.125
160119,2.936,2.657,2.343,2.23,2.125
160120,2.936,2.657,2.343,2.23,2.125
160121,2.936,2.657,2.343,2.23,2.125
160122,2.936,2.657,2.343,2.23,2.125
160123,2.936,2.657,2.343,2.23,2.125
160124,2.936,2.657,2.343,2.23,2.125
160125,2.936,2.657,2.343,2.23,2.125
160126,2.936,2.657,2.343,2.23,2.125
160127,2.936,2.657,2.343,2.23,2.125
160128,2.936,2.657,2.343,2.23,2.125
160129,2.936,2.657,2.343,2.23,2.125
160130,2.936,2.657,2.343,2.23,2.125
160131,2.936,2.657,2.343,2.23,2.125
160201,3.189,2.829,2.442,2.306,2.181
160202,3.189,2.829,2.442,2.306,2.181
160203,3.189,2.829,2.442,2.306,2.181
160204,3.189,2.829,2.442,2.306,2.181
160205,3.189,2.829,2.442,2.306,2.181
160206,3.189,2.829,2.442,2.306,2.181
160207,3.189,2.829,2.442,2.306,2.181
160208,3.189,2.829,2.442,2.306,2.181
160209,3.189,2.829,2.442,2.306,2.181
160210,3.189,2.829,2.442,2.306,2.181
160211,3.189,2.829,2.442,2.306,2.181
160212,1.893,1.712,1.497,1.417,1.342
160213,3.189,2.829,2.442,2.306,2.181
160214,3.189,2.829,2.442,2.306,2.181
160215,3.189,2.829,2.442,2.306,2.181
160216,3.189,2.829,2.442,2.306,2.181
160217,3.189,2.829,2.442,2.306,2.181
160218,3.189,2.829,2.442,2.306,2.181
160219,3.189,2.829,2.442,2.306,2.181
160220,3.189,2.829,2.442,2.306,2.181
160221,3.189,2.829,2.442,2.306,2.181
160222,4.508,3.868,3.202,2.972,2.764
160223,3.189,2.829,2.442,2.306,2.181
160224,3.189,2.829,2.442,2.306,2.181
160225,3.189,2.829,2.442,2.306,2.181
160226,3.189,2.829,2.442,2.306,2.181
160227,3.189,2.829,2.442,2.306,2.181
160228,3.189,2.829,2.442,2.306,2.181
160301,3.189,2.829,2.442,2.306,2.181
160302,3.417,2.939,2.449,2.282,2.132
160303,3.417,2.939,2.449,2.282,2.132
160304,3.417,2.939,2.449,2.282,2.132
160305,3.417,2.939,2.449,2.282,2.132
160306,3.417,2.939,2.449,2.282,2.132
160307,3.417,2.939,2.449,2.282,2.132
160308,3.417,2.939,2.449,2.282,2.132
160309,3.417,2.939,2.449,2.282,2.132
160310,0.298,0.279,0.253,0.243,0.232
160311,8.474,7.016,5.605,5.142,4.732
160312,3.417,2.939,2.449,2.282,2.132
160313,3.417,2.939,2.449,2.282,2.132
160314,3.417,2.939,2.449,2.282,2.132
160315,3.417,2.939,2.449,2.282,2.132
160316,3.417,2.939,2.449,2.282,2.132
160317,3.417,2.939,2.449,2.282,2.132
160318,3.417,2.939,2.449,2.282,2.132
160319,3.417,2.939,2.449,2.282,2.132
160320,3.417,2.939,2.449,2.282,2.132
160321,3.417,2.939,2.449,2.282,2.132
160322,3.417,2.939,2.449,2.282,2.132
160323,3.229,2.771,2.293,2.129,1.98
160324,3.417,2.939,2.449,2.282,2.132
160325,3.031,2.509,2.005,1.839,1.692
160326,3.417,2.939,2.449,2.282,2.132
160327,3.417,2.939,2.449,2.282,2.132
160328,3.417,2.939,2.449,2.282,2.132
160329,3.417,2.939,2.449,2.282,2.132
160330,3.417,2.939,2.449,2.282,2.132
160331,3.417,2.939,2.449,2.282,2.132
160401,3.417,2.939,2.449,2.282,2.132
160402,2.602,2.323,2.019,1.932,1.813
160403,2.602,2.323,2.019,1.932,1.813
160404,2.602,2.323,2.019,1.932,1.813
160405,3.472,3.102,2.681,2.528,2.386
160406,2.602,2.323,2.019,1.932,1.813
160407,2.602,2.323,2.019,1.932,1.813
160408,1.432,1.358,1.268,1.234,1.2
160409,2.602,2.323,2.019,1.932,1.813
160410,3.197,2.988,2.7,2.585,2.473
160411,2.602,2.323,2.019,1.932,1.813
160412,2.602,2.323,2.019,1.932,1.813
160413,2.602,2.323,2.019,1.932,1.813
160414,2.602,2.323,2.019,1.932,1.813
160415,2.602,2.323,2.019,1.932,1.813
160416,2.602,2.323,2.019,1.932,1.813
160417,2.602,2.323,2.019,1.932,1.813
160418,2.602,2.323,2.019,1.932,1.813
160419,3.116,2.777,2.402,2.266,2.14
160420,1.158,1.081,0.974,0.931,0.889
160421,2.602,2.323,2.019,1.932,1.813
160422,1.584,1.478,1.331,1.932,1.216
160423,2.602,2.323,2.019,1.932,1.813
160424,1.484,1.433,1.385,1.37,1.355
160425,2.602,2.323,2.019,1.932,1.813
160426,2.602,2.323,2.019,1.932,1.813
160427,2.602,2.323,2.019,1.932,1.813
160428,2.602,2.323,2.019,1.932,1.813
160429,2.602,2.323,2.019,1.932,1.813
160430,2.602,2.323,2.019,1.932,1.813
160501,1.361,1.269,1.144,1.094,1.045
160502,2.533,2.25,1.944,1.837,1.737
160503,0.114,0.106,0.096,0.092,0.089
160504,2.533,2.25,1.944,1.837,1.737
160505,2.533,2.25,1.944,1.837,1.737
160506,2.533,2.25,1.944,1.837,1.737
160507,2.533,2.25,1.944,1.837,1.737
160508,2.533,2.25,1.944,1.837,1.737
160509,2.04,1.91,1.731,1.66,1.59
160510,2.382,2.044,1.692,1.571,1.461
160511,2.533,2.25,1.944,1.837,1.737
160512,5.826,5.058,4.254,3.976,3.722
160513,2.533,2.25,1.944,1.837,1.737
160514,2.533,2.25,1.944,1.837,1.737
160515,2.209,2.06,1.856,1.775,1.696
160516,2.533,2.25,1.944,1.837,1.737
160517,0.897,0.836,0.754,0.72,0.688
160518,2.533,2.25,1.944,1.837,1.737
160519,2.533,2.25,1.944,1.837,1.737
160520,2.533,2.25,1.944,1.837,1.737
160521,3.313,2.795,2.277,2.103,1.947
160522,2.533,2.25,1.944,1.837,1.737
160523,2.533,2.25,1.944,1.837,1.737
160524,2.533,2.25,1.944,1.837,1.737
160525,2.219,2.074,1.874,1.794,1.717
160526,2.152,1.956,1.72,1.631,1.547
160527,2.533,2.25,1.944,1.837,1.737
160528,5.855,4.847,3.873,3.553,3.269
160529,3.383,2.915,2.434,2.268,2.119
160530,2.533,2.25,1.944,1.837,1.737
160531,2.533,2.25,1.944,1.837,1.737
160601,2.533,2.25,1.944,1.837,1.737
160602,1.657,1.475,1.274,1.202,1.129
160603,1.657,1.475,1.274,1.202,1.129
160604,1.657,1.475,1.274,1.202,1.129
160605,1.657,1.475,1.274,1.202,1.129
160606,1.657,1.475,1.274,1.202,1.129
160607,1.657,1.475,1.274,1.202,1.129
160608,1.657,1.475,1.274,1.202,1.129
160609,1.657,1.475,1.274,1.202,1.129
160610,1.657,1.475,1.274,1.202,1.129
160611,1.657,1.475,1.274,1.202,1.129
160612,1.657,1.475,1.274,1.202,1.129
160613,1.657,1.475,1.274,1.202,1.129
160614,1.657,1.475,1.274,1.202,1.129
160615,4.617,4.026,3.404,3.187,2.99
160616,1.657,1.475,1.274,1.202,1.129
160617,1.657,1.475,1.274,1.202,1.129
160618,1.657,1.475,1.274,1.202,1.129
160619,1.657,1.475,1.274,1.202,1.129
160620,2.008,1.745,1.465,1.367,1.279
160621,1.657,1.475,1.274,1.202,1.129
160622,1.259,1.1,0.93,0.87,0.816
160623,0.24,0.224,0.203,0.195,0.186
160624,1.628,1.458,1.265,1.195,1.13
160625,1.237,1.158,1.049,1.006,0.576
160626,1.657,1.475,1.274,1.202,1.129
160627,0.832,0.776,0.7,0.669,0.639
160628,1.657,1.475,1.274,1.202,1.129
160629,1.657,1.475,1.274,1.202,1.129
160630,0.585,0.548,0.497,0.476,0.456
160701,2.154,1.948,1.709,1.62,1.537
160702,1.538,1.438,1.299,1.244,1.19
160703,0.134,0.126,0.114,0.109,0.105
160704,0.065,0.061,0.055,0.053,0.051
160705,1.075,0.969,0.846,0.801,0.768
160706,0.349,0.327,0.296,0.283,0.271
160707,1.075,0.969,0.846,0.801,0.768
160708,1.136,1.051,0.941,0.899,0.858
160709,2.29,2.14,1.934,1.852,1.772
160710,1.444,1.352,1.225,1.175,1.125
160711,0.288,0.27,0.244,0.234,0.276
160712,1.747,1.636,1.483,1.422,1.362
160713,1.77,1.567,1.341,1.261,1.186
160714,1.075,0.969,0.846,0.801,0.768
160715,4.068,3.435,2.798,2.584,2.393
160716,1.075,0.969,0.846,0.801,0.768
160717,1.075,0.969,0.846,0.801,0.768
160718,0.102,0.095,0.086,0.083,0.079
160719,0.138,0.129,0.117,0.112,0.108
160720,0.207,0.193,0.175,0.168,0.161
160721,1.075,0.969,0.846,0.801,0.768
160722,0.031,0.029,0.027,0.025,0.025
160723,1.075,0.969,0.846,0.801,0.768
160724,1.272,1.15,1.007,0.954,0.905
160725,0.074,0.069,0.062,0.06,0.058
160726,3.433,2.911,2.39,2.216,2.06
160727,1.075,0.969,0.846,0.801,0.768
160728,1.313,1.229,1.114,1.068,1.023
160729,0.363,0.322,0.277,0.26,0.246
160730,1.075,0.969,0.846,0.801,0.768
160731,0.709,0.628,0.539,0.507,0.477
160801,1.162,1.087,0.984,0.943,0.903
160802,2.517,2.205,1.872,1.756,1.65
160803,0.091,0.085,0.077,0.074,0.071
160804,0.628,0.586,0.53,0.508,0.486
160805,0.293,0.264,0.231,0.219,0.207
160806,2.517,2.205,1.872,1.756,1.65
160807,2.607,2.238,1.86,1.731,1.614
160808,2.517,2.205,1.872,1.756,1.65
160809,2.517,2.205,1.872,1.756,1.65
160810,2.517,2.205,1.872,1.756,1.65
160811,0.515,0.497,0.481,0.475,0.47
160812,0.54,0.504,0.456,0.436,0.417
160813,2.517,2.205,1.872,1.756,1.65
160814,2.164,1.891,1.597,1.493,1.398
160815,2.517,2.205,1.872,1.756,1.65
160816,7.668,6.581,5.446,5.056,4.703
160817,2.517,2.205,1.872,1.756,1.65
160818,2.517,2.205,1.872,1.756,1.65
160819,2.517,2.205,1.872,1.756,1.65
160820,2.517,2.205,1.872,1.756,1.65
160821,2.517,2.205,1.872,1.756,1.65
160822,2.517,2.205,1.872,1.756,1.65
160823,0.632,0.592,0.536,0.514,0.492
160824,2.517,2.205,1.872,1.756,1.65
160825,2.233,1.877,1.525,1.407,1.302
160826,5.406,4.61,3.798,3.522,3.272
160827,6.525,5.502,4.477,4.132,3.825
160828,2.517,2.205,1.872,1.756,1.65
160829,2.517,2.205,1.872,1.756,1.65
