,342.5nm,388nm,442nm,463nm,483.5nm
170123,2.872,2.679,2.414,2.308,2.205
170124,,,,,
170125,1.691,1.633,1.579,1.561,1.545
170126,,,,,
170127,,,,,
170128,,,,,
170129,,,,,
170130,,,,,
170131,,,,,
170201,,,,,
170202,,,,,
170203,,,,,
170204,,,,,
170205,,,,,
170206,,,,,
170207,,,,,
170208,,,,,
170209,,,,,
170210,,,,,
170211,,,,,
170212,,,,,
170213,,,,,
170214,,,,,
170215,,,,,
170216,,,,,
170217,,,,,
170218,,,,,
170219,,,,,
170220,,,,,
170221,,,,,
170222,,,,,
170223,6.398,5.491,4.544,4.219,3.924
170224,,,,,
170225,,,,,
170226,,,,,
170227,,,,,
170228,,,,,
170301,,,,,
170302,,,,,
170303,,,,,
170304,,,,,
170305,4.031,3.459,2.863,2.658,2.472
170306,,,,,
170307,,,,,
170308,,,,,
170309,,,,,
170310,,,,,
170311,0.924,0.864,0.781,0.748,0.716
170312,,,,,
170313,,,,,
170314,,,,,
170315,,,,,
170316,,,,,
170317,,,,,
170318,,,,,
170319,,,,,
170320,,,,,
170321,,,,,
170322,,,,,
170323,0.977,0.912,0.821,0.786,0.75
170324,,,,,
170325,1.31,1.157,1.0,0.946,0.897
170326,,,,,
170327,,,,,
170328,,,,,
170329,,,,,
170330,2.011,1.899,1.755,1.7,1.647
170331,,,,,
170401,,,,,
170402,,,,,
170403,,,,,
170404,,,,,
170405,,,,,
170406,,,,,
170407,,,,,
170408,,,,,
170409,,,,,
170410,1.879,1.814,1.754,1.734,1.716
170411,,,,,
170412,,,,,
170413,,,,,
170414,,,,,
170415,1.25,1.166,1.05,1.004,0.96
170416,,,,,
170417,,,,,
170418,,,,,
170419,1.689,1.492,1.274,1.197,1.125
170420,,,,,
170421,7.016,5.93,4.838,4.469,4.139
170422,,,,,
170423,,,,,
170424,1.254,1.169,1.054,1.008,0.963
170425,3.998,3.736,3.376,3.232,3.093
170426,0.978,0.944,0.913,0.903,0.893
170427,,,,,
170428,,,,,
170429,,,,,
170430,,,,,
170501,,,,,
170502,,,,,
170503,1.715,1.656,1.601,1.582,1.566
170504,,,,,
170505,2.204,2.128,2.057,2.034,2.013
170506,,,,,
170507,3.648,3.214,2.739,2.571,2.415
170508,2.088,2.016,1.949,1.927,1.907
170509,,,,,
170510,,,,,
170511,,,,,
170512,,,,,
170513,,,,,
170514,,,,,
170515,,,,,
170516,,,,,
170517,1.957,1.89,1.827,1.806,1.787
170518,1.849,1.601,1.34,1.25,1.168
170519,,,,,
170520,,,,,
170521,1.416,1.368,1.322,1.307,1.294
170522,,,,,
170523,4.933,4.139,3.354,3.093,2.859
170524,,,,,
170525,2.536,2.37,2.142,2.051,1.962
170526,,,,,
170527,,,,,
170528,2.827,2.402,1.971,1.826,1.694
170529,,,,,
170530,,,,,
170531,,,,,
170601,,,,,
170602,,,,,
170603,,,,,
170604,,,,,
170605,,,,,
170606,0.807,0.753,0.678,0.648,0.62
170607,2.919,2.729,2.466,2.361,2.259
170608,,,,,
170609,,,,,
170610,,,,,
170611,0.791,0.738,0.665,0.635,0.607
170612,,,,,
170613,0.63,0.589,0.533,0.51,0.489
170614,,,,,
170615,1.93,1.698,1.447,1.359,1.277
170616,,,,,
170617,2.902,2.513,2.104,1.962,1.833
170618,1.322,1.233,1.112,1.063,1.015
170619,0.931,0.872,0.79,0.758,0.726
170620,0.099,0.093,0.084,0.08,0.077
170621,,,,,
170622,0.121,0.113,0.103,0.098,0.094
170623,,,,,
170624,,,,,
170625,0.385,0.361,0.327,0.314,0.3
170626,0.334,0.312,0.283,0.271,0.259
170627,0.888,0.812,0.718,0.682,0.649
170628,,,,,
170629,0.066,0.062,0.056,0.054,0.052
170630,,,,,
170701,3.395,3.17,2.862,2.738,2.618
170702,,,,,
170703,,,,,
170704,0.027,0.025,0.023,0.022,0.021
170705,2.697,2.336,1.956,1.824,1.704
170706,,,,,
170707,,,,,
170708,0.039,0.036,0.033,0.032,0.03
170709,,,,,
170710,1.174,1.083,0.968,0.924,0.882
170711,0.004,0.003,0.002,0.002,0.002
170712,0.304,0.275,0.241,0.229,0.217
170713,0.059,0.056,0.05,0.048,
170714,0.519,0.486,0.44,0.422,0.404
170715,1.198,1.056,0.899,0.844,0.792
170716,,,,,
170717,,,,,
170718,,,,,
170719,,,,,
170720,,,,,
170721,0.195,0.183,0.165,0.159,0.152
170722,,,,,
170723,,,,,
170724,1.14,1.064,0.958,0.916,0.875
170725,,,,,
170726,0.234,0.215,0.192,0.183,0.174
170727,,,,,
170728,1.059,0.983,0.882,0.843,0.805
170729,0.426,0.388,0.342,0.311,0.309
170730,,,,,
170731,,,,,
170801,,,,,
170802,2.494,2.252,1.967,1.861,1.761
170803,0.705,0.659,0.595,0.57,0.545
170804,,,,,
170805,0.734,0.684,0.617,0.59,0.563
170806,1.068,0.998,0.902,0.864,0.826
170807,4.367,3.636,2.926,2.692,2.484
170808,,,,,
170809,3.196,2.702,2.207,2.04,1.891
170810,,,,,
170811,,,,,
170812,2.044,1.907,1.718,1.642,1.569
170813,,,,,
170814,,,,,
170815,,,,,
170816,1.849,1.786,1.726,1.707,1.689
170817,,,,,
170818,,,,,
170819,,,,,
170820,,,,,
170821,,,,,
170822,,,,,
170823,2.736,2.458,2.137,2.018,1.908
170824,,,,,
170825,4.228,3.628,3.003,2.788,2.593
170826,,,,,
170827,3.54,3.256,2.895,2.756,2.623
170828,,,,,
170829,,,,,
170830,,,,,
170831,,,,,
170901,1.538,1.32,1.092,1.014,0.943
170902,,,,,
170903,2.549,2.377,2.142,2.048,1.957
170904,2.203,2.055,1.852,1.771,1.692
170905,,,,,
170906,2.956,2.615,2.241,2.108,1.985
170907,5.948,4.939,3.958,3.634,3.347
170908,,,,,
170909,,,,,
170910,,,,,
170911,,,,,
170912,7.606,6.297,5.031,4.616,4.247
170913,,,,,
170914,5.21,4.313,3.446,3.161,2.909
170915,3.252,2.836,2.387,2.23,2.085
170916,4.087,3.827,3.468,3.325,3.186
170917,1.116,0.968,0.813,0.76,0.711
170918,,,,,
170919,4.488,4.099,3.62,3.438,3.265
170920,4.521,4.217,3.8,3.633,3.472
170921,6.498,5.38,4.298,3.943,3.628
170922,,,,,
170923,,,,,
170924,,,,,
170925,,,,,
170926,,,,,
170927,,,,,
170928,,,,,
170929,,,,,
170930,6.679,5.529,4.418,4.053,3.729
171001,1.935,1.806,1.627,1.555,1.486
171002,,,,,
171003,,,,,
171004,,,,,
171005,3.771,3.201,2.622,2.426,2.249
171006,1.633,1.524,1.373,1.313,1.254
171007,4.328,3.816,3.253,3.052,2.868
171008,,,,,
171009,3.214,3.004,2.715,2.599,2.487
171010,,,,,
171011,,,,,
171012,,,,,
171013,,,,,
171014,,,,,
171015,,,,,
171016,,,,,
171017,,,,,
171018,,,,,
