,354nm,388nm,500nm
200911,0.914,0.938,0.954
200912,0.941,0.958,0.971
200913,0.938,0.956,0.969
200914,0.951,0.965,0.976
200915,0.938,0.955,0.969
200916,0.923,0.942,0.957
200917,0.919,0.941,0.958
200918,0.923,0.942,0.957
200919,0.941,0.958,0.971
200920,0.943,0.96,0.972
200921,0.954,0.967,0.978
200922,0.945,0.961,0.973
200923,0.923,0.942,0.957
200924,0.923,0.942,0.957
200925,0.923,0.942,0.957
200926,0.923,0.942,0.957
200927,0.923,0.942,0.957
200928,0.923,0.942,0.957
200929,0.925,0.934,0.95
200930,0.923,0.942,0.957
201001,0.906,0.932,0.95
201002,0.925,0.946,0.962
201003,0.911,0.935,0.953
201004,0.937,0.949,0.962
201005,0.937,0.949,0.962
201006,0.918,0.936,0.952
201007,0.937,0.949,0.962
201008,0.894,0.919,0.938
201009,0.932,0.951,0.966
201010,0.91,0.935,0.952
201011,0.937,0.949,0.962
201012,0.933,0.951,0.966
201013,0.938,0.951,0.965
201014,0.937,0.949,0.962
201015,0.938,0.947,0.961
201016,0.937,0.949,0.962
201017,0.937,0.949,0.962
201018,0.937,0.949,0.962
201019,0.937,0.949,0.962
201020,0.937,0.949,0.962
201021,0.937,0.949,0.962
201022,0.942,0.948,0.961
201023,0.952,0.96,0.971
201024,0.901,0.928,0.946
201025,0.937,0.949,0.962
201026,0.937,0.949,0.962
201027,0.937,0.949,0.962
201028,0.937,0.949,0.962
201029,0.937,0.949,0.962
201030,0.937,0.949,0.962
201031,0.937,0.949,0.962
201101,0.937,0.949,0.962
201102,0.887,0.918,0.937
201103,0.936,0.945,0.958
201104,0.936,0.945,0.958
201105,0.936,0.945,0.958
201106,0.936,0.945,0.958
201107,0.936,0.945,0.958
201108,0.936,0.945,0.958
201109,0.936,0.945,0.958
201110,0.924,0.932,0.948
201111,0.936,0.945,0.958
201112,0.936,0.945,0.958
201113,0.936,0.945,0.958
201114,0.936,0.945,0.958
201115,0.936,0.945,0.958
201116,0.95,0.956,0.966
201117,0.92,0.928,0.944
201118,0.936,0.945,0.958
201119,0.936,0.945,0.958
201120,0.936,0.945,0.958
201121,0.936,0.945,0.958
201122,0.936,0.945,0.958
201123,0.941,0.947,0.959
201124,0.936,0.945,0.958
201125,0.936,0.945,0.958
201126,0.936,0.945,0.958
201127,0.936,0.945,0.958
201128,0.936,0.945,0.958
201129,0.936,0.945,0.958
201130,0.901,0.924,0.942
201201,0.936,0.945,0.958
201202,0.929,0.936,0.951
201203,0.934,0.942,0.955
201204,0.934,0.942,0.955
201205,0.934,0.942,0.955
201206,0.934,0.942,0.955
201207,0.934,0.942,0.955
201208,0.934,0.942,0.955
201209,0.917,0.925,0.942
201210,0.934,0.942,0.955
201211,0.934,0.942,0.955
201212,0.934,0.942,0.955
201213,0.934,0.942,0.955
201214,0.934,0.942,0.955
201215,0.934,0.942,0.955
201216,0.908,0.93,0.948
201217,0.934,0.942,0.955
201218,0.901,0.912,0.932
201219,0.934,0.942,0.955
201220,0.902,0.912,0.931
201221,0.934,0.942,0.955
201222,0.934,0.942,0.955
201223,0.934,0.942,0.955
201224,0.934,0.942,0.955
201225,0.934,0.942,0.955
201226,0.934,0.942,0.955
201227,0.934,0.942,0.955
201228,0.934,0.942,0.955
201229,0.934,0.942,0.955
201230,0.934,0.942,0.955
201231,0.949,0.954,0.965
