,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
03/16,241.456,246.822,254.667,260.178,255.178,237.267,262.4,263.912,266.6,263.656,255.578,257.067,257.742,253.986,257.742,263.111,
03/17,244.6,251.3,250.967,250.744,254.033,257.8,257.742,260.089,271.4,265.8,261.322,234.986,257.742,254.067,263.233,289.444,
03/18,244.622,254.833,256.667,257.742,257.742,246.633,285.589,261.133,266.933,257.742,256.956,250.822,275.733,250.4,266.111,259.344,
03/19,255.633,244.0,249.178,264.822,258.433,251.433,266.033,256.2,256.489,259.9,252.433,252.989,253.286,257.489,277.213,257.742,
03/20,246.011,246.667,260.333,249.733,252.8,250.444,270.911,257.742,257.989,252.433,255.722,244.456,270.089,257.742,264.778,256.067,
03/21,242.933,249.567,253.0,262.811,258.433,247.011,267.344,266.5,257.978,254.25,257.742,253.4,256.778,275.833,257.633,253.089,
03/22,255.967,258.0,262.633,258.378,255.3,256.867,264.733,260.386,257.742,261.878,259.1,247.067,264.256,258.0,260.111,252.388,
03/23,248.667,251.367,261.8,258.178,259.0,257.742,269.311,262.767,266.456,256.578,256.211,251.478,277.589,267.711,257.742,263.367,
03/24,255.033,253.411,264.456,257.622,254.433,250.2,264.678,258.311,248.6,255.867,259.643,257.742,250.444,255.456,276.367,248.267,
03/25,257.742,260.944,263.022,254.433,252.978,243.444,267.044,257.656,261.711,257.742,255.7,252.6,270.267,255.044,262.267,255.167,
03/26,249.722,261.011,255.433,258.467,261.344,251.625,257.742,255.844,251.844,267.933,252.656,245.367,257.742,262.356,268.856,257.742,
03/27,247.922,265.422,247.922,253.922,257.742,256.178,265.0,264.067,252.033,261.043,251.822,267.525,273.7,265.511,266.167,270.767,
03/28,248.0,254.8,258.6,259.089,272.689,257.742,265.544,256.611,252.056,263.933,257.742,241.0,259.244,266.089,265.756,250.343,
03/29,248.189,251.289,251.344,255.4,251.567,253.311,287.9,257.742,254.422,260.011,263.733,245.967,265.637,257.742,260.911,258.044,
03/30,253.467,243.011,254.867,258.733,258.656,257.742,266.433,259.067,252.789,254.122,252.0,245.411,271.233,264.7,257.978,256.067,
03/31,252.656,248.8,257.742,255.078,257.889,262.233,257.742,256.389,257.742,258.8,257.778,257.742,257.742,251.467,260.4,261.656,
04/01,255.956,244.833,244.011,251.278,257.144,235.3,264.744,261.1,260.633,250.311,257.833,257.633,263.711,260.043,254.346,265.911,
04/02,253.867,260.756,258.444,258.1,256.744,257.733,254.346,261.522,254.044,260.356,256.144,238.4,254.346,248.756,263.633,292.911,
04/03,244.911,252.144,257.7,258.244,254.346,241.922,269.5,258.444,238.871,254.346,256.7,254.133,282.333,241.667,260.811,255.8,
04/04,251.911,248.011,256.233,262.044,258.778,244.7,263.7,257.256,253.244,262.333,244.589,247.133,257.243,251.256,265.85,254.346,
04/05,255.344,244.967,260.967,251.833,254.346,247.5,258.822,254.346,249.0,261.911,260.989,249.344,267.333,254.346,264.522,257.4,
04/06,255.467,243.944,263.144,256.744,260.533,248.022,263.156,263.9,254.289,265.763,254.346,256.311,252.911,262.833,253.544,251.344,
04/07,257.144,244.933,248.111,258.433,255.6,247.678,254.346,246.4,254.346,259.933,256.2,244.056,252.8,248.157,256.178,242.386,
04/08,254.346,252.911,256.067,257.722,265.033,254.346,262.9,259.933,267.4,256.244,255.4,250.578,259.233,272.967,254.346,255.989,
04/09,251.978,251.544,255.233,254.367,254.5,245.0,255.489,254.189,251.886,256.311,250.633,254.346,245.733,254.456,270.533,245.556,
04/10,254.767,246.344,256.433,253.6,259.078,245.533,256.633,259.222,255.389,254.346,253.356,253.133,264.367,256.789,253.1,252.922,
04/11,254.344,249.567,248.367,258.244,255.322,246.625,254.346,259.378,257.678,267.533,243.411,254.6,254.346,255.311,257.622,254.346,
04/12,252.467,254.346,252.133,260.867,254.346,244.878,275.467,260.389,248.844,265.733,257.956,247.837,265.667,260.044,251.678,276.867,
04/13,250.433,254.346,254.622,259.6,265.733,254.346,258.167,265.622,258.033,272.6,254.346,249.878,263.678,257.822,256.611,248.914,
04/14,254.233,255.622,251.344,254.6,249.044,243.578,256.45,254.346,252.611,261.333,261.3,241.867,264.4,254.346,260.4,251.333,
04/15,257.733,242.067,244.867,259.067,256.5,254.346,260.833,263.233,255.3,259.478,248.75,246.922,266.522,254.867,268.678,239.478,
04/16,257.522,254.133,247.511,259.322,256.167,250.867,254.346,259.656,254.346,264.711,251.878,254.346,255.122,251.256,266.744,255.233,
04/17,247.333,247.344,248.7,254.411,261.811,238.186,254.367,258.667,259.9,256.844,249.811,260.3,260.167,255.775,254.346,256.844,
04/18,259.1,257.167,241.333,252.933,260.056,246.0,254.346,259.667,259.578,259.378,249.389,241.2,254.346,257.789,267.7,281.978,
04/19,242.822,251.6,245.3,254.346,254.346,247.233,267.033,260.156,250.433,254.346,253.889,246.244,274.067,251.289,261.522,251.733,
04/20,247.322,258.478,249.889,255.867,259.567,250.1,248.743,256.544,258.156,266.2,236.756,249.422,258.4,253.967,266.4,254.346,
04/21,241.111,262.033,258.178,257.678,254.35,245.5,257.756,254.346,252.067,252.989,249.789,246.544,260.078,254.346,255.067,258.133,
04/22,238.0,253.733,245.122,253.867,253.933,237.411,254.889,267.833,250.167,246.913,254.346,252.767,256.078,277.0,248.311,247.878,
04/23,238.833,254.278,245.056,249.533,248.756,241.8,254.346,259.8,254.346,252.067,256.867,249.122,248.267,229.814,247.267,254.114,
04/24,245.3,249.089,250.767,256.356,244.663,254.346,260.889,262.289,265.7,251.1,249.889,249.678,263.211,259.0,254.346,254.789,
04/25,249.667,249.967,247.689,249.578,261.589,244.133,255.933,254.489,251.167,252.011,261.525,254.346,241.667,247.489,269.7,248.5,
04/26,254.346,251.456,250.933,246.578,254.346,240.378,264.778,256.378,247.689,254.346,257.711,255.833,258.678,254.422,250.557,247.256,
04/27,246.567,247.1,243.478,263.122,249.311,240.05,254.346,259.089,248.556,257.367,255.244,248.2,254.346,253.711,258.844,254.346,
04/28,235.344,248.333,244.0,247.833,254.346,248.967,261.167,257.533,253.833,245.067,247.956,250.9,260.1,259.511,249.344,263.867,
04/29,239.311,244.933,244.356,255.522,266.633,254.346,254.9,253.967,259.1,258.544,254.346,246.967,259.067,264.833,255.633,243.414,
04/30,238.622,252.256,249.489,249.144,249.9,250.567,252.25,254.346,262.189,254.467,255.533,238.389,253.2,254.346,252.089,267.656,
05/01,246.7,241.556,251.989,249.589,255.811,248.087,259.467,255.033,248.633,249.789,236.633,247.544,249.156,256.2,259.344,248.022,
05/02,248.211,251.867,248.087,245.8,249.622,250.078,248.087,248.311,248.087,251.789,248.789,248.087,237.8,253.033,247.244,246.489,
05/03,244.522,243.767,251.144,250.567,253.167,239.267,253.0,248.512,266.133,245.011,242.678,255.8,251.167,260.243,248.087,244.333,
05/04,244.333,250.789,247.367,252.889,253.311,248.156,248.087,248.322,252.078,251.111,246.144,249.271,248.087,251.067,249.533,273.544,
05/05,238.0,245.656,245.267,250.5,253.456,243.1,265.4,246.111,246.15,248.087,246.944,251.556,264.633,248.533,250.467,241.878,
05/06,250.589,243.233,244.811,253.033,250.689,244.467,250.733,247.922,249.933,248.1,232.367,247.544,249.743,247.489,254.243,248.087,
05/07,240.311,227.533,247.811,245.0,248.087,244.433,254.056,248.087,240.522,250.056,245.1,250.8,258.389,248.087,254.456,257.9,
05/08,239.6,238.544,250.167,244.2,253.6,247.444,251.378,254.2,241.911,231.812,248.087,250.822,255.367,264.333,246.411,246.0,
05/09,241.911,243.444,241.833,251.011,250.489,243.978,248.087,249.857,248.087,243.378,250.733,241.7,254.122,240.714,250.178,250.963,
05/10,240.667,248.087,240.467,251.878,268.9,248.087,253.922,254.044,258.8,247.233,243.211,249.833,257.844,253.222,248.087,249.244,
05/11,236.333,244.456,243.311,253.878,244.356,243.833,252.433,248.911,244.767,250.444,241.267,248.087,255.711,239.544,260.433,239.011,
05/12,237.989,255.822,247.333,252.011,248.087,241.878,248.078,257.0,246.867,248.087,242.456,248.033,256.767,246.744,240.929,245.322,
05/13,243.889,249.567,234.622,258.911,251.344,243.067,248.087,258.378,244.678,260.867,243.056,248.233,248.087,245.378,247.089,248.087,
05/14,236.867,246.3,242.844,242.833,248.087,251.267,241.5,251.056,247.922,252.8,244.1,253.771,254.933,254.889,248.244,257.767,
05/15,236.178,242.111,246.289,257.711,256.933,248.087,246.0,250.389,248.344,256.289,248.087,247.867,253.589,244.833,245.911,245.129,
05/16,237.922,248.344,247.233,250.444,251.422,244.422,254.025,248.087,224.189,251.222,252.333,239.311,243.65,248.087,254.833,247.078,
05/17,246.7,239.867,242.433,250.489,263.056,248.087,244.422,254.267,247.1,247.722,237.267,244.122,256.544,253.5,273.644,243.344,
05/18,245.6,246.633,241.467,251.878,247.367,247.1,248.087,250.111,248.087,261.189,248.087,248.087,248.778,244.578,250.278,247.689,
05/19,244.767,240.922,246.144,257.1,253.767,233.4,243.289,247.125,252.967,246.767,239.033,250.567,253.678,241.986,248.087,247.356,
05/20,244.533,255.867,243.522,249.444,257.356,242.067,248.087,249.367,252.067,253.633,249.889,242.986,248.087,238.122,249.867,275.978,
05/21,242.578,245.867,242.367,248.087,253.944,239.367,254.767,246.389,244.675,248.087,244.611,240.744,274.3,241.5,247.644,242.233,
05/22,242.578,247.989,238.1,254.267,254.089,241.967,232.7,255.4,246.867,253.3,230.733,239.122,269.357,243.811,248.229,248.087,
