,354nm,388nm,500nm
151123,0.361,0.313,0.202
151124,0.346,0.303,0.203
151125,0.326,0.281,0.176
151126,0.272,0.234,0.146
151127,,,
151128,,,
151129,0.136,0.117,0.073
151130,,,
151201,0.239,0.206,0.129
151202,,,
151203,0.132,0.115,0.074
151204,0.116,0.1,0.064
151205,,,
151206,0.153,0.131,0.082
151207,,,
151208,0.118,0.102,0.064
151209,0.311,0.273,0.183
151210,0.14,0.122,0.081
151211,0.387,0.334,0.21
151212,,,
151213,0.081,0.071,0.049
151214,,,
151215,0.062,0.054,0.034
151216,0.088,0.083,0.071
151217,0.249,0.23,0.184
151218,0.337,0.293,0.189
151219,0.138,0.119,0.075
151220,,,
151221,,,
151222,0.163,0.141,0.089
151223,,,
151224,0.063,0.055,0.036
151225,0.3,0.278,0.225
151226,,,
151227,0.314,0.272,0.172
151228,0.227,0.196,0.123
151229,0.085,0.075,0.053
151230,,,
151231,,,
160101,,,
160102,,,
160103,,,
160104,,,
160105,0.09,0.077,0.048
160106,,,
160107,0.062,0.054,0.036
160108,,,
160109,0.165,0.145,0.097
160110,0.353,0.318,0.231
160111,0.259,0.228,0.155
160112,0.187,0.164,0.109
160113,,,
160114,0.158,0.137,0.088
160115,,,
160116,0.024,0.022,0.016
160117,,,
160118,0.138,0.12,0.08
160119,0.222,0.197,0.136
160120,0.184,0.169,0.132
160121,0.111,0.099,0.072
160122,,,
160123,0.056,0.049,0.033
160124,,,
160125,0.162,0.14,0.09
160126,0.284,0.251,0.171
160127,,,
160128,0.12,0.106,0.072
160129,0.5,0.434,0.276
160130,0.148,0.128,0.08
160131,,,
160201,0.073,0.066,0.049
160202,0.502,0.453,0.336
160203,0.143,0.128,0.092
160204,,,
160205,0.271,0.24,0.168
160206,0.145,0.129,0.09
160207,,,
160208,,,
160209,,,
160210,0.13,0.113,0.073
160211,0.375,0.347,0.279
160212,0.275,0.242,0.167
160213,0.317,0.275,0.177
160214,,,
160215,0.13,0.115,0.079
160216,,,
160217,0.17,0.148,0.097
160218,0.625,0.585,0.487
160219,0.226,0.195,0.122
160220,0.588,0.515,0.344
160221,,,
160222,0.322,0.279,0.176
160223,,,
160224,0.165,0.142,0.089
160225,,,
160226,0.247,0.213,0.134
160227,0.956,0.825,0.519
160228,0.359,0.31,0.195
160301,0.377,0.329,0.218
160302,0.482,0.418,0.266
160303,0.287,0.248,0.155
160304,,,
160305,0.237,0.206,0.131
160306,1.088,1.027,0.882
160307,,,
160308,,,
160309,,,
160310,,,
160311,,,
160312,,,
160313,,,
160314,0.065,0.058,0.042
160315,0.631,0.548,0.355
160316,0.495,0.432,0.278
160317,,,
160318,0.669,0.577,0.361
160319,0.225,0.202,0.149
160320,,,
160321,,,
160322,0.496,0.431,0.28
160323,0.19,0.166,0.11
160324,0.395,0.352,0.25
160325,0.383,0.337,0.229
160326,0.351,0.303,0.191
160327,0.481,0.415,0.26
160328,0.242,0.211,0.139
160329,,,
160330,0.43,0.371,0.234
160331,,,
160401,0.218,0.195,0.143
160402,0.323,0.287,0.203
160403,0.612,0.535,0.353
160404,0.195,0.168,0.106
160405,0.433,0.375,0.239
160406,0.204,0.176,0.111
160407,,,
160408,,,
160409,,,
160410,0.61,0.526,0.33
160411,,,
160412,1.221,1.077,0.709
160413,0.247,0.213,0.134
160414,,,
160415,0.554,0.485,0.316
160416,0.876,0.759,0.484
160417,0.551,0.482,0.316
160418,0.551,0.477,0.303
160419,0.838,0.726,0.46
160420,0.36,0.31,0.194
160421,,,
160422,0.542,0.472,0.303
160423,1.226,1.074,0.696
160424,,,
160425,0.48,0.415,0.262
160426,0.359,0.314,0.208
160427,0.346,0.299,0.19
160428,0.638,0.562,0.378
160429,0.266,0.23,0.145
160430,,,
160501,0.43,0.375,0.243
160502,0.861,0.745,0.473
160503,,,
160504,0.279,0.25,0.18
160505,0.474,0.415,0.275
160506,0.221,0.192,0.123
160507,0.227,0.204,0.149
160508,0.344,0.296,0.185
160509,,,
160510,0.192,0.165,0.104
160511,,,
160512,0.455,0.392,0.245
160513,,,
160514,,,
160515,,,
160516,,,
160517,0.117,0.101,0.064
160518,0.64,0.567,0.392
160519,,,
160520,0.533,0.462,0.298
160521,0.729,0.634,0.414
160522,0.221,0.19,0.119
160523,,,
160524,,,
160525,0.706,0.634,0.466
160526,,,
160527,0.702,0.605,0.379
160528,0.39,0.344,0.238
160529,0.75,0.647,0.407
160530,,,
160531,,,
160601,,,
160602,,,
160603,,,
160604,,,
160605,,,
160606,,,
160607,,,
160608,,,
160609,,,
160610,,,
160611,,,
160612,,,
160613,,,
160614,,,
160615,0.618,0.533,0.336
160616,0.249,0.214,0.134
160617,,,
160618,0.3,0.258,0.161
160619,0.793,0.71,0.515
160620,,,
160621,,,
160622,0.535,0.479,0.348
160623,0.247,0.217,0.146
160624,0.626,0.54,0.339
160625,0.275,0.238,0.15
160626,0.89,0.831,0.69
160627,,,
160628,,,
160629,0.353,0.304,0.19
160630,0.505,0.435,0.273
160701,0.411,0.354,0.223
160702,0.277,0.239,0.15
160703,,,
160704,0.358,0.308,0.193
160705,0.573,0.502,0.336
160706,0.297,0.258,0.165
160707,0.461,0.406,0.275
160708,0.634,0.552,0.359
160709,0.4,0.346,0.219
160710,0.606,0.528,0.348
160711,,,
160712,,,
160713,0.302,0.26,0.163
160714,,,
160715,0.399,0.349,0.232
160716,0.383,0.342,0.244
160717,0.577,0.518,0.38
160718,0.482,0.416,0.261
160719,,,
160720,0.29,0.25,0.157
160721,0.613,0.563,0.444
160722,,,
160723,0.659,0.57,0.362
160724,0.691,0.596,0.375
160725,0.388,0.335,0.21
160726,0.608,0.524,0.33
160727,,,
160728,,,
160729,,,
160730,0.957,0.826,0.52
160731,,,
160801,0.386,0.339,0.229
160802,0.623,0.558,0.406
160803,0.286,0.247,0.158
160804,,,
160805,,,
160806,1.182,1.018,0.639
160807,,,
160808,0.389,0.345,0.242
160809,0.393,0.338,0.212
160810,0.419,0.361,0.226
160811,0.534,0.47,0.319
160812,0.292,0.252,0.157
160813,0.88,0.779,0.543
160814,,,
160815,,,
160816,,,
160817,,,
160818,0.603,0.52,0.326
160819,0.42,0.362,0.228
160820,,,
160821,,,
160822,,,
160823,0.337,0.291,0.181
160824,0.411,0.363,0.251
160825,0.48,0.418,0.274
160826,0.286,0.247,0.155
160827,0.809,0.697,0.438
160828,0.293,0.252,0.158
160829,,,
160830,,,
160831,,,
160901,,,
160902,,,
160903,,,
160904,,,
160905,,,
160906,,,
160907,0.854,0.745,0.492
160908,0.395,0.341,0.215
160909,0.346,0.307,0.213
160910,0.58,0.515,0.362
160911,0.374,0.323,0.206
160912,0.67,0.578,0.364
160913,,,
160914,0.45,0.398,0.275
160915,,,
160916,,,
160917,,,
160918,0.428,0.372,0.239
160919,,,
160920,0.327,0.282,0.177
160921,,,
160922,0.274,0.236,0.148
160923,0.584,0.529,0.4
160924,,,
160925,0.481,0.414,0.26
160926,,,
160927,,,
160928,,,
160929,,,
160930,,,
161001,,,
161002,,,
161003,,,
161004,0.208,0.179,0.113
161005,,,
161006,0.262,0.226,0.142
161007,,,
161008,,,
161009,,,
161010,,,
161011,0.53,0.458,0.288
161012,0.25,0.216,0.136
161013,0.11,0.097,0.066
161014,,,
161015,0.183,0.157,0.098
161016,0.39,0.343,0.234
161017,0.18,0.156,0.099
161018,,,
161019,0.231,0.202,0.134
161020,0.321,0.278,0.175
161021,,,
161022,0.155,0.134,0.085
161023,,,
161024,,,
161025,0.544,0.469,0.295
161026,,,
161027,0.436,0.376,0.236
161028,0.39,0.336,0.211
161029,0.15,0.131,0.087
161030,,,
161031,0.124,0.108,0.069
161101,0.797,0.688,0.433
161102,0.196,0.169,0.106
161103,0.519,0.447,0.281
161104,,,
161105,,,
161106,,,
161107,,,
161108,,,
161109,,,
161110,,,
161111,,,
161112,,,
161113,,,
161114,,,
161115,,,
161116,0.114,0.098,0.062
161117,,,
161118,0.148,0.129,0.084
161119,,,
161120,0.156,0.144,0.114
161121,0.14,0.124,0.086
161122,,,
161123,0.15,0.129,0.081
161124,,,
161125,0.149,0.128,0.08
161126,0.436,0.376,0.238
161127,0.123,0.112,0.087
161128,0.165,0.145,0.099
161129,0.208,0.185,0.132
161130,0.151,0.131,0.083
161201,,,
161202,0.056,0.049,0.032
161203,,,
161204,,,
161205,,,
161206,0.171,0.148,0.094
161207,0.133,0.116,0.077
161208,,,
161209,,,
161210,,,
161211,0.189,0.163,0.102
161212,0.245,0.226,0.179
161213,0.118,0.106,0.078
161214,0.108,0.096,0.069
161215,,,
161216,0.088,0.077,0.053
161217,,,
161218,0.092,0.08,0.052
161219,,,
161220,,,
161221,,,
161222,0.238,0.205,0.129
161223,0.124,0.109,0.074
161224,,,
161225,0.149,0.128,0.08
161226,,,
161227,,,
161228,0.566,0.488,0.307
161229,0.391,0.338,0.214
161230,,,
161231,0.172,0.148,0.093
170101,,,
170102,0.026,0.024,0.019
170103,,,
170104,0.221,0.192,0.124
170105,0.17,0.152,0.111
170106,0.199,0.174,0.116
170107,0.142,0.124,0.08
170108,,,
170109,0.04,0.036,0.025
170110,,,
170111,0.072,0.063,0.041
170112,0.362,0.337,0.278
170113,,,
170114,,,
170115,0.241,0.208,0.132
170116,,,
170117,,,
170118,,,
170119,0.227,0.202,0.144
170120,0.255,0.229,0.168
170121,,,
170122,,,
170123,0.273,0.257,0.221
170124,,,
170125,0.221,0.191,0.121
170126,,,
170127,0.121,0.106,0.07
170128,,,
170129,,,
170130,0.215,0.19,0.134
170131,,,
170201,0.224,0.197,0.133
170202,,,
170203,0.213,0.184,0.115
170204,,,
170205,0.225,0.194,0.121
170206,0.321,0.282,0.192
170207,0.243,0.21,0.133
170208,0.146,0.134,0.106
170209,,,
170210,0.101,0.088,0.057
170211,,,
170212,0.187,0.162,0.106
170213,0.739,0.638,0.405
170214,0.224,0.197,0.133
170215,0.279,0.244,0.16
170216,,,
170217,0.114,0.102,0.073
170218,,,
170219,,,
170220,0.239,0.218,0.167
170221,0.199,0.176,0.124
170222,,,
170223,,,
170224,0.154,0.143,0.115
170225,,,
170226,0.164,0.144,0.098
170227,,,
170228,0.305,0.264,0.167
170301,0.34,0.313,0.248
170302,,,
170303,,,
170304,,,
170305,0.164,0.145,0.1
170306,0.342,0.298,0.196
170307,,,
170308,0.657,0.566,0.354
170309,,,
170310,0.684,0.589,0.369
170311,,,
170312,,,
170313,,,
170314,,,
170315,,,
170316,,,
170317,0.522,0.457,0.306
170318,0.309,0.267,0.168
170319,0.355,0.311,0.207
170320,0.439,0.378,0.237
170321,0.172,0.151,0.102
170322,,,
170323,0.291,0.251,0.157
170324,0.451,0.414,0.327
170325,0.266,0.232,0.154
170326,,,
170327,0.378,0.336,0.238
170328,0.273,0.241,0.167
170329,0.495,0.455,0.358
170330,0.096,0.084,0.056
170331,,,
170401,0.233,0.208,0.147
170402,0.488,0.454,0.37
170403,0.197,0.176,0.125
170404,0.398,0.346,0.223
170405,0.479,0.424,0.293
170406,0.28,0.241,0.15
170407,,,
170408,0.166,0.146,0.1
170409,0.827,0.754,0.583
170410,0.319,0.28,0.191
170411,,,
170412,0.465,0.42,0.313
170413,0.544,0.468,0.293
170414,,,
170415,,,
170416,,,
170417,,,
170418,0.538,0.475,0.327
170419,0.417,0.368,0.253
170420,0.376,0.336,0.243
170421,0.509,0.45,0.311
170422,0.219,0.192,0.128
170423,0.326,0.282,0.178
170424,0.452,0.39,0.244
170425,1.0,0.904,0.678
170426,0.333,0.293,0.197
170427,,,
170428,0.386,0.346,0.251
170429,0.45,0.392,0.258
170430,0.416,0.382,0.303
170501,0.131,0.115,0.08
170502,,,
170503,0.335,0.292,0.192
170504,0.593,0.53,0.383
170505,0.201,0.181,0.135
170506,0.469,0.413,0.283
170507,1.141,0.984,0.618
170508,,,
170509,,,
170510,,,
170511,0.538,0.503,0.421
170512,0.295,0.255,0.161
170513,0.694,0.6,0.383
170514,0.371,0.32,0.201
170515,0.428,0.373,0.244
170516,0.636,0.549,0.344
170517,0.344,0.296,0.186
170518,,,
170519,0.476,0.411,0.258
170520,,,
170521,0.133,0.126,0.108
170522,,,
170523,,,
170524,0.251,0.221,0.151
170525,,,
170526,0.393,0.339,0.212
170527,1.037,0.925,0.663
170528,0.546,0.47,0.295
170529,,,
170530,,,
170531,0.287,0.248,0.155
170601,,,
170602,,,
170603,,,
170604,,,
170605,0.68,0.602,0.42
170606,0.337,0.291,0.182
170607,0.391,0.342,0.227
170608,0.28,0.241,0.15
170609,0.361,0.311,0.195
170610,,,
170611,0.321,0.276,0.173
170612,0.594,0.555,0.462
170613,0.378,0.328,0.211
170614,0.575,0.504,0.337
170615,0.348,0.31,0.22
170616,0.203,0.185,0.143
170617,0.382,0.336,0.228
170618,0.208,0.183,0.124
170619,,,
170620,,,
170621,0.646,0.577,0.417
170622,0.215,0.188,0.125
170623,0.385,0.338,0.226
170624,1.165,1.004,0.63
170625,,,
170626,,,
170627,,,
170628,0.417,0.383,0.302
170629,0.276,0.241,0.16
170630,,,
170701,0.563,0.486,0.305
170702,0.495,0.431,0.279
170703,0.435,0.378,0.246
170704,0.327,0.285,0.187
170705,,,
170706,,,
170707,1.156,0.996,0.625
170708,,,
170709,0.593,0.515,0.331
170710,0.58,0.5,0.314
170711,0.591,0.51,0.32
170712,,,
170713,,,
170714,0.585,0.522,0.374
170715,0.43,0.37,0.231
170716,0.662,0.571,0.36
170717,,,
170718,0.628,0.541,0.339
170719,0.551,0.475,0.299
170720,0.34,0.293,0.184
170721,,,
170722,0.217,0.187,0.116
170723,0.704,0.629,0.454
170724,0.441,0.382,0.244
170725,0.73,0.633,0.405
170726,0.455,0.394,0.251
170727,0.42,0.364,0.234
170728,0.437,0.405,0.329
170729,0.163,0.141,0.089
170730,0.959,0.895,0.743
170731,,,
170801,,,
170802,,,
170803,,,
170804,0.765,0.659,0.414
170805,0.44,0.379,0.237
170806,,,
170807,0.292,0.251,0.157
170808,1.17,1.009,0.634
170809,,,
170810,0.832,0.717,0.451
170811,0.556,0.48,0.301
170812,0.28,0.243,0.157
170813,0.445,0.421,0.361
170814,0.335,0.289,0.181
170815,0.603,0.527,0.351
170816,0.268,0.23,0.143
170817,0.703,0.618,0.419
170818,0.428,0.369,0.232
170819,0.571,0.493,0.31
170820,0.772,0.666,0.419
170821,0.37,0.319,0.199
170822,,,
170823,,,
170824,,,
170825,,,
170826,,,
170827,0.486,0.418,0.262
170828,,,
170829,,,
170830,0.147,0.127,0.08
170831,0.456,0.393,0.247
170901,,,
170902,,,
170903,,,
170904,,,
170905,,,
170906,,,
170907,,,
170908,0.318,0.274,0.172
170909,,,
170910,0.438,0.378,0.237
170911,0.574,0.5,0.327
170912,0.588,0.513,0.338
170913,0.565,0.49,0.311
170914,0.688,0.594,0.374
170915,0.379,0.327,0.206
170916,0.536,0.484,0.362
170917,,,
170918,,,
170919,,,
170920,0.543,0.469,0.295
170921,0.614,0.53,0.334
170922,,,
170923,,,
170924,,,
170925,,,
170926,,,
170927,,,
170928,,,
170929,,,
170930,,,
171001,,,
171002,0.768,0.663,0.417
171003,,,
171004,,,
171005,,,
171006,0.354,0.307,0.198
171007,,,
171008,0.174,0.15,0.094
171009,,,
171010,,,
171011,0.618,0.533,0.335
171012,0.285,0.245,0.154
171013,0.294,0.258,0.175
171014,0.528,0.455,0.287
171015,0.311,0.268,0.169
171016,,,
171017,0.081,0.071,0.048
171018,0.228,0.216,0.185
171019,0.275,0.238,0.152
171020,0.405,0.351,0.226
171021,0.293,0.253,0.159
171022,,,
171023,,,
171024,0.176,0.153,0.099
171025,,,
171026,0.095,0.085,0.062
171027,0.345,0.307,0.216
171028,0.232,0.208,0.151
171029,0.183,0.163,0.115
171030,0.072,0.062,0.039
171031,0.137,0.118,0.075
171101,,,
171102,0.113,0.098,0.063
171103,0.516,0.466,0.348
171104,0.198,0.172,0.109
171105,,,
171106,0.248,0.227,0.176
171107,0.138,0.125,0.095
171108,,,
171109,0.177,0.152,0.095
171110,,,
171111,0.23,0.198,0.125
171112,0.34,0.301,0.209
171113,,,
171114,0.254,0.222,0.149
171115,0.22,0.19,0.12
171116,0.167,0.146,0.096
171117,,,
171118,0.085,0.074,0.047
171119,0.412,0.372,0.278
171120,0.249,0.221,0.153
171121,0.277,0.244,0.166
171122,0.3,0.27,0.201
171123,0.137,0.126,0.102
171124,,,
171125,0.081,0.071,0.049
171126,,,
171127,0.123,0.107,0.068
171128,0.389,0.361,0.294
171129,0.166,0.144,0.091
171130,0.184,0.162,0.112
171201,0.881,0.832,0.714
171202,0.145,0.127,0.085
171203,,,
171204,0.123,0.106,0.067
171205,0.771,0.717,0.588
171206,,,
171207,,,
171208,0.24,0.223,0.183
171209,0.126,0.11,0.072
171210,,,
171211,,,
171212,,,
171213,0.103,0.089,0.056
171214,,,
171215,,,
171216,,,
171217,0.354,0.306,0.193
171218,0.056,0.052,0.045
171219,,,
171220,0.132,0.114,0.071
171221,0.673,0.616,0.481
171222,,,
171223,0.335,0.288,0.179
171224,0.244,0.214,0.144
171225,0.187,0.161,0.101
171226,,,
171227,0.183,0.158,0.099
171228,,,
171229,,,
171230,0.504,0.454,0.335
171231,,,
180101,,,
180102,,,
180103,0.098,0.086,0.056
180104,,,
180105,0.094,0.081,0.051
180106,0.698,0.643,0.513
180107,0.357,0.318,0.225
180108,,,
180109,0.234,0.202,0.127
180110,0.14,0.122,0.08
180111,,,
180112,0.05,0.045,0.035
180113,,,
180114,0.121,0.106,0.07
180115,0.365,0.329,0.242
180116,0.306,0.264,0.167
180117,,,
180118,,,
180119,0.176,0.153,0.101
180120,,,
180121,0.16,0.138,0.087
180122,,,
180123,,,
180124,0.295,0.257,0.17
180125,0.284,0.245,0.153
180126,0.095,0.082,0.051
180127,,,
180128,,,
180129,,,
180130,0.143,0.124,0.08
180131,0.476,0.411,0.259
180201,0.126,0.109,0.068
180202,,,
180203,,,
180204,0.209,0.186,0.131
180205,,,
180206,,,
180207,,,
180208,,,
180209,,,
180210,0.161,0.147,0.114
180211,0.323,0.284,0.193
180212,,,
180213,,,
180214,,,
180215,0.174,0.153,0.102
180216,0.539,0.473,0.318
180217,0.627,0.592,0.508
180218,0.36,0.314,0.206
180219,,,
180220,,,
180221,,,
180222,,,
180223,0.91,0.789,0.507
180224,,,
180225,0.375,0.325,0.21
180226,,,
180227,0.484,0.418,0.262
180228,,,
180301,0.163,0.143,0.095
180302,,,
180303,0.18,0.155,0.097
180304,0.665,0.577,0.37
180305,0.213,0.191,0.14
180306,,,
180307,0.295,0.255,0.16
180308,0.209,0.181,0.115
180309,,,
180310,0.09,0.079,0.053
180311,0.159,0.15,0.129
180312,,,
180313,,,
180314,,,
180315,0.294,0.254,0.163
180316,,,
180317,0.193,0.168,0.107
180318,,,
180319,0.115,0.103,0.073
180320,0.529,0.483,0.373
180321,0.428,0.369,0.232
180322,0.242,0.219,0.165
180323,,,
180324,0.297,0.256,0.16
180325,,,
180326,0.248,0.214,0.133
180327,0.747,0.644,0.404
180328,,,
180329,0.335,0.303,0.228
180330,0.325,0.281,0.177
180331,0.229,0.203,0.141
180401,,,
180402,0.234,0.205,0.136
180403,,,
180404,,,
180405,0.459,0.413,0.305
180406,0.284,0.253,0.181
180407,0.366,0.32,0.214
180408,0.627,0.546,0.357
180409,0.329,0.284,0.177
180410,,,
180411,0.38,0.332,0.215
180412,,,
180413,0.236,0.21,0.15
180414,,,
180415,0.316,0.281,0.199
180416,0.235,0.213,0.16
180417,0.492,0.432,0.291
180418,0.376,0.325,0.205
180419,,,
180420,,,
180421,0.634,0.559,0.381
180422,0.317,0.273,0.171
180423,0.61,0.527,0.331
180424,,,
180425,,,
180426,,,
180427,,,
180428,,,
180429,,,
180430,0.339,0.315,0.255
180501,0.339,0.306,0.229
180502,0.542,0.467,0.292
180503,0.487,0.42,0.262
180504,,,
180505,,,
180506,0.313,0.27,0.169
180507,0.764,0.678,0.475
180508,0.262,0.235,0.172
180509,0.362,0.321,0.227
180510,0.596,0.523,0.352
180511,0.296,0.257,0.165
180512,,,
180513,,,
180514,0.414,0.391,0.336
180515,,,
180516,,,
180517,0.339,0.295,0.191
180518,0.32,0.277,0.178
180519,0.551,0.476,0.302
180520,0.446,0.384,0.24
180521,,,
180522,0.424,0.365,0.228
180523,0.899,0.775,0.486
180524,0.477,0.411,0.258
180525,0.449,0.39,0.253
180526,0.34,0.293,0.185
180527,0.206,0.19,0.152
180528,,,
180529,0.278,0.24,0.152
180530,0.823,0.747,0.567
180531,0.471,0.406,0.254
180601,0.925,0.797,0.5
180602,0.305,0.271,0.191
180603,0.374,0.327,0.217
180604,,,
180605,0.124,0.109,0.074
180606,,,
180607,0.363,0.313,0.195
180608,0.708,0.619,0.411
180609,,,
180610,0.386,0.337,0.223
180611,0.527,0.454,0.285
180612,,,
180613,,,
180614,0.32,0.275,0.171
180615,,,
180616,,,
180617,,,
180618,,,
180619,,,
180620,,,
180621,,,
180622,,,
180623,0.28,0.241,0.151
180624,0.604,0.532,0.365
