Dates,354nm,388nm,500nm
2016-03-14,0.065,0.058,0.042
2016-03-15,0.631,0.548,0.355
2016-03-16,0.495,0.432,0.278
2016-03-17,,,
2016-03-18,0.669,0.577,0.361
2016-03-19,0.225,0.202,0.149
2016-03-20,,,
2016-03-21,,,
2016-03-22,0.496,0.431,0.28
2016-03-23,0.19,0.166,0.11
2016-03-24,0.395,0.352,0.25
2016-03-25,0.383,0.337,0.229
2016-03-26,0.351,0.303,0.191
2016-03-27,0.481,0.415,0.26
2016-03-28,0.242,0.211,0.139
2016-03-29,,,
2016-03-30,0.43,0.371,0.234
2016-03-31,,,
2016-04-01,0.218,0.195,0.143
2016-04-02,0.323,0.287,0.203
2016-04-03,0.612,0.535,0.353
2016-04-04,0.195,0.168,0.106
2016-04-05,0.433,0.375,0.239
2016-04-06,0.204,0.176,0.111
2016-04-07,,,
2016-04-08,,,
2016-04-09,,,
2016-04-10,0.61,0.526,0.33
2016-04-11,,,
2016-04-12,1.221,1.077,0.709
2016-04-13,0.247,0.213,0.134
2016-04-14,,,
2016-04-15,0.554,0.485,0.316
2016-04-16,0.876,0.759,0.484
2016-04-17,0.551,0.482,0.316
2016-04-18,0.551,0.477,0.303
2016-04-19,0.838,0.726,0.46
2016-04-20,0.36,0.31,0.194
2016-04-21,,,
2016-04-22,0.542,0.472,0.303
2016-04-23,1.226,1.074,0.696
2016-04-24,,,
2016-04-25,0.48,0.415,0.262
2016-04-26,0.359,0.314,0.208
2016-04-27,0.346,0.299,0.19
2016-04-28,0.638,0.562,0.378
2016-04-29,0.266,0.23,0.145
2016-04-30,,,
2016-05-01,0.43,0.375,0.243
2016-05-02,0.861,0.745,0.473
2016-05-03,,,
2016-05-04,0.279,0.25,0.18
2016-05-05,0.474,0.415,0.275
2016-05-06,0.221,0.192,0.123
2016-05-07,0.227,0.204,0.149
2016-05-08,0.344,0.296,0.185
2016-05-09,,,
2016-05-10,0.192,0.165,0.104
2016-05-11,,,
2016-05-12,0.455,0.392,0.245
2016-05-13,,,
2016-05-14,,,
