Date,Ozone,Year,Month,Day
170501,281.267,2017,5,1
170502,287.812,2017,5,2
170505,309.622,2017,5,5
170506,291.244,2017,5,6
170608,279.156,2017,6,8
170610,310.467,2017,6,10
170616,281.111,2017,6,16
170617,287.700,2017,6,17
170621,277.744,2017,6,21
170629,282.700,2017,6,29
170704,272.567,2017,7,4
170721,287.236,2017,7,21
170722,286.567,2017,7,22
170726,277.822,2017,7,26
170728,278.733,2017,7,28
170729,293.111,2017,7,29
170730,287.236,2017,7,30
170801,284.181,2017,8,1
170813,287.667,2017,8,13
170908,269.333,2017,9,8
170912,274.478,2017,9,12
170913,282.111,2017,9,13
170914,276.933,2017,9,14
170915,270.822,2017,9,15
171008,265.522,2017,10,8
171019,258.867,2017,10,19
171027,260.191,2017,10,27
171028,272.733,2017,10,28
171029,275.633,2017,10,29
180110,249.556,2018,1,10
180111,255.023,2018,1,11
180112,259.856,2018,1,12
180120,255.023,2018,1,20
180130,276.533,2018,1,30
180216,259.424,2018,2,16
180301,257.167,2018,3,1
180302,273.379,2018,3,2
180310,275.900,2018,3,10
180331,281.978,2018,3,31
180407,291.733,2018,4,7
180413,288.900,2018,4,13
180414,280.308,2018,4,14
180415,295.067,2018,4,15
180416,286.400,2018,4,16
180508,297.956,2018,5,8
180518,292.011,2018,5,18
180527,279.511,2018,5,27
180528,295.167,2018,5,28
180529,279.433,2018,5,29
180605,291.533,2018,6,5
180606,283.440,2018,6,6
180630,293.567,2018,6,30
180702,295.733,2018,7,2
180704,298.400,2018,7,4
180711,288.089,2018,7,11
180715,306.733,2018,7,15
180716,304.144,2018,7,16
180717,287.236,2018,7,17
180718,290.967,2018,7,18
180719,287.236,2018,7,19
180720,291.400,2018,7,20
180721,292.911,2018,7,21
180722,297.656,2018,7,22
180723,290.344,2018,7,23
180730,297.089,2018,7,30
180803,288.067,2018,8,3
180808,284.967,2018,8,8
180810,295.467,2018,8,10
180515,273.533,2018,5,15
180822,287.278,2018,8,22
180823,294.822,2018,8,23
180824,294.767,2018,8,24
180827,284.067,2018,8,27
181106,254.882,2018,11,6
181114,267.300,2018,11,14
181221,249.333,2018,12,21
190104,236.244,2019,1,4
190105,255.023,2019,1,5
190112,255.023,2019,1,12
190120,236.511,2019,1,20
190121,255.023,2019,1,21
190124,258.456,2019,1,24
190128,255.023,2019,1,28
190129,258.578,2019,1,29
190213,259.424,2019,2,13
190214,233.156,2019,2,14
190224,259.424,2019,2,24
190227,238.900,2019,2,27
190307,273.379,2019,3,7
190330,273.379,2019,3,30
190407,269.133,2019,4,7
190409,270.167,2019,4,9
190411,262.889,2019,4,11
190413,307.500,2019,4,13
190414,278.056,2019,4,14
190418,275.200,2019,4,18
190419,283.622,2019,4,19
190420,273.000,2019,4,20
190421,276.933,2019,4,21
190427,271.844,2019,4,27
190428,276.389,2019,4,28
190501,287.812,2019,5,1
190518,274.367,2019,5,18
190521,289.056,2019,5,21
190606,277.411,2019,6,6
190607,272.711,2019,6,7
190608,275.067,2019,6,8
190609,283.440,2019,6,9
190614,284.011,2019,6,14
190615,289.722,2019,6,15
190629,294.211,2019,6,29
190630,291.089,2019,6,30
190701,303.356,2019,7,1
190706,287.236,2019,7,6
190709,289.978,2019,7,9
190719,299.622,2019,7,19
190720,287.236,2019,7,20
190721,290.400,2019,7,21
190730,275.333,2019,7,30
190731,284.878,2019,7,31
190801,280.500,2019,8,1
190802,293.156,2019,8,2
190807,284.181,2019,8,7
190808,278.133,2019,8,8
190809,287.000,2019,8,9
190810,285.889,2019,8,10
190811,279.500,2019,8,11
190812,284.181,2019,8,12
190813,284.333,2019,8,13
190814,281.078,2019,8,14
190616,301.200,2019,6,16
190817,285.089,2019,8,17
200424,280.308,2020,4,24
200501,360.800,2020,5,1
200507,302.078,2020,5,7
200517,317.600,2020,5,17
200518,285.889,2020,5,18
200519,287.812,2020,5,19
200607,271.233,2020,6,7
200612,280.567,2020,6,12
200613,275.589,2020,6,13
200614,275.322,2020,6,14
200622,297.689,2020,6,22
200704,330.267,2020,7,4
200705,284.833,2020,7,5
200706,287.236,2020,7,6
200709,278.800,2020,7,9
200710,292.822,2020,7,10
200711,267.811,2020,7,11
200712,274.967,2020,7,12
200713,287.236,2020,7,13
200714,281.300,2020,7,14
200803,279.956,2020,8,3
200810,279.500,2020,8,10
200815,276.133,2020,8,15
200816,272.989,2020,8,16
200820,281.189,2020,8,20
200821,321.700,2020,8,21
200822,278.700,2020,8,22
200826,262.600,2020,8,26
200919,258.311,2020,9,19
200920,260.833,2020,9,20
200921,263.556,2020,9,21
200922,322.400,2020,9,22
200923,264.389,2020,9,23
200924,271.108,2020,9,24
200930,264.489,2020,9,30
201001,260.191,2020,10,1
201002,266.700,2020,10,2
201003,260.191,2020,10,3
201004,272.944,2020,10,4
201005,263.378,2020,10,5
201006,260.191,2020,10,6
201008,260.191,2020,10,8
201009,255.044,2020,10,9
201015,260.191,2020,10,15
201017,260.191,2020,10,17
201018,257.333,2020,10,18
201023,257.178,2020,10,23
201029,260.191,2020,10,29
201030,256.589,2020,10,30
201031,260.191,2020,10,31
201101,252.456,2020,11,1
201102,254.882,2020,11,2
201103,250.567,2020,11,3
201104,254.882,2020,11,4
201105,254.867,2020,11,5
201107,254.882,2020,11,7
201110,243.911,2020,11,10
